,n_non_na,frac_non_na,n_points_total,diag
CHOLAFIN,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903289, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 7, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
BRITANNIA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 4, ""rows_original"": 903524, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
CIPLA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903526, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
COALINDIA,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903528, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
DMART,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 706928, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
DABUR,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
DIVISLAB,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903524, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
DLF,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903522, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
DRREDDY,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903523, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
EICHERMOT,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903520, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
GAIL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903522, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
GODREJCP,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903517, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HAL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 601417, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HDFCLIFE,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 645567, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
GRASIM,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903491, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HAVELLS,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903519, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HCLTECH,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903520, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HDFCBANK,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903519, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HEROMOTOCO,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903520, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HINDALCO,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903522, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
HINDUNILVR,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903518, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ICICIGI,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 658336, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ICICIPRULI,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 750488, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ICICIBANK,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 4500, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
INDIA,1422,0.9992972593113141,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 938695, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1422, ""final_valid_points"": 1422}"
INDIGO,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 831535, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
INDUSINDBK,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 6, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
INFY,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903522, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 4500, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
IOC,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903519, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ITC,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 4500, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
JINDALSTEL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903522, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
JSWENERGY,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 901763, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 1121, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
JSWSTEEL,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
KOTAKBANK,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 4, ""rows_original"": 903519, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
LT,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903519, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
LTIM,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 767905, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
MOTHERSON,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903489, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
MARUTI,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903517, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
NAUKRI,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 0, ""rows_original"": 903037, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 3, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
NHPC,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 3, ""rows_original"": 903300, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
NESTLEIND,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903502, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
NTPC,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903516, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
ONGC,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 4, ""rows_original"": 903521, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
PFC,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903514, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
PIDILITIND,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903516, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
POWERGRID,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903520, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
PNB,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 1, ""rows_original"": 903520, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
SBILIFE,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 657139, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
RECLTD,1343,0.94378074490513,1423,"{""nonpos_count_resampled"": 0, ""outlier_count"": 2, ""rows_original"": 903515, ""nan_timestamps_original"": 0, ""dup_timestamps_original"": 0, ""nonpos_count_original"": 0, ""resampled_rows"": 1343, ""final_valid_points"": 1343}"
