2025-12-31 08:12:00.852 | INFO | simulation | Launched detached simulation. PID=2860
2025-12-31 08:12:01.988 | INFO | simulation | Run initialized
2025-12-31 08:12:01.989 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200
2025-12-31 08:12:01.989 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\params.yaml
2025-12-31 08:12:01.989 | INFO | simulation | Experiments dir: experiments
2025-12-31 08:12:01.989 | INFO | simulation | Running experiment from config
2025-12-31 08:12:01.994 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-31 08:12:24.319 | INFO | simulation | Progress: 34% (875/2572) | date=2018-08-16 00:00:00 nav=8.21971043 opt_status=no_rebalance
2025-12-31 08:12:25.179 | INFO | simulation | Progress: 35% (901/2572) | date=2018-09-26 00:00:00 nav=7.25858398 opt_status=no_rebalance
2025-12-31 08:12:25.828 | INFO | simulation | Progress: 36% (926/2572) | date=2018-11-02 00:00:00 nav=7.28784054 opt_status=no_rebalance
2025-12-31 08:12:26.555 | INFO | simulation | Progress: 37% (952/2572) | date=2018-12-13 00:00:00 nav=7.59405523 opt_status=no_rebalance
2025-12-31 08:12:27.263 | INFO | simulation | Progress: 38% (978/2572) | date=2019-01-21 00:00:00 nav=5.99028509 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:27.984 | INFO | simulation | Progress: 39% (1004/2572) | date=2019-02-26 00:00:00 nav=5.96719338 opt_status=no_rebalance
2025-12-31 08:12:28.734 | INFO | simulation | Progress: 40% (1029/2572) | date=2019-04-04 00:00:00 nav=5.95312665 opt_status=no_rebalance
2025-12-31 08:12:29.513 | INFO | simulation | Progress: 41% (1055/2572) | date=2019-05-16 00:00:00 nav=5.43569931 opt_status=no_rebalance
2025-12-31 08:12:30.346 | INFO | simulation | Progress: 42% (1081/2572) | date=2019-06-24 00:00:00 nav=5.33937834 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:31.094 | INFO | simulation | Progress: 43% (1106/2572) | date=2019-07-29 00:00:00 nav=5.16128429 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:31.813 | INFO | simulation | Progress: 44% (1132/2572) | date=2019-09-06 00:00:00 nav=5.21830839 opt_status=no_rebalance
2025-12-31 08:12:32.624 | INFO | simulation | Progress: 45% (1158/2572) | date=2019-10-17 00:00:00 nav=5.58412822 opt_status=no_rebalance
